ident,iata_code,name,type,latitude_deg,longitude_deg,elevation_ft
00A,,Total RF Heliport,heliport,40.070985,-74.933689,11.0
00AA,,Aero B Ranch Airport,small_airport,38.704022,-101.473911,3435.0
00AK,,Lowell Field,small_airport,59.947733,-151.692524,450.0
00AL,,Epps Airpark,small_airport,34.86479949951172,-86.77030181884766,820.0
00AN,,Katmai Lodge Airport,small_airport,59.093287,-156.456699,80.0
00AS,,Fulton Airport,small_airport,34.9428028,-97.8180194,1100.0
00AZ,,Cordes Airport,small_airport,34.305599212646484,-112.16500091552734,3810.0
00CA,,Goldstone (GTS) Airport,small_airport,35.35474,-116.885329,3038.0
00CL,,Williams Ag Airport,small_airport,39.427188,-121.763427,87.0
00CN,,Kitchen Creek Helibase Heliport,heliport,32.7273736,-116.4597417,3350.0
00FA,,Grass Patch Airport,small_airport,28.64550018310547,-82.21900177001953,53.0
00FL,,River Oak Airport,small_airport,27.230899810791016,-80.96920013427734,35.0
00GA,,Lt World Airport,small_airport,33.76750183105469,-84.06829833984375,700.0
00GE,,Caffrey Heliport,heliport,33.887982,-84.736983,957.0
00HI,,Kaupulehu Heliport,heliport,19.832881,-155.978347,43.0
00ID,,Delta Shores Airport,small_airport,48.145301818847656,-116.21399688720705,2064.0
00IG,,Goltl Airport,small_airport,39.724028,-101.395994,3359.0
00IL,,Hammer Airport,small_airport,41.978401,-89.560402,840.0
00IN,,St Mary Medical Center Heliport,heliport,41.51139831542969,-87.2605972290039,634.0
00IS,,Hayenga's Cant Find Farms Airport,small_airport,40.02560043334961,-89.1229019165039,820.0
00KS,,Hayden Farm Airport,small_airport,38.72779846191406,-94.93049621582033,1100.0
00KY,,Robbins Roost Airport,small_airport,37.409400939941406,-84.61969757080078,1265.0
00LA,,Shell Chemical East Site Heliport,heliport,30.191944,-90.980833,15.0
00LL,,Ac & R Components Heliport,heliport,39.66529846191406,-89.70559692382812,600.0
00LS,,Lejeune Airport,small_airport,30.136299,-92.429398,12.0
00MD,,Slater Field,small_airport,38.75709915161133,-75.75379943847656,45.0
00MI,,Dow Chemical Heliport,heliport,43.94940185546875,-86.41670227050781,588.0
00MN,,Battle Lake Municipal Airport,small_airport,46.29999923706055,-95.70030212402344,1365.0
00MO,,Cooper Flying Service Airport,small_airport,37.202800750732,-94.412399291992,970.0
00MT,,Livingston Healthcare Heliport,heliport,45.675,-110.52515,4465.0
00N,,Bucks Airport,small_airport,39.472998,-75.184346,105.0
00NC,,North Raleigh Airport,small_airport,36.08520126342773,-78.37139892578125,348.0
00NJ,,Colgate-Piscataway Heliport,heliport,40.52090072631836,-74.47460174560547,78.0
00NK,,Cliche Cove Seaplane Base,seaplane_base,44.8118612,-73.3698057,96.0
00NR,,Rodanthe Dare County Heliport,heliport,35.594729,-75.470002,8.0
00NY,,Weiss Airfield,small_airport,42.89576,-77.495263,1000.0
00OI,,Miami Valley Hospital Helistop,heliport,39.744888,-84.18724,905.0
00OK,,Gull Bay Landing Airport,small_airport,36.198598,-96.217693,960.0
00OR,,Steel Systems Heliport,heliport,44.932899475097656,-123.12999725341795,195.0
00PA,,R J D Heliport,heliport,39.94889831542969,-75.74690246582031,402.0
00PN,,Ferrell Field,small_airport,41.2995,-80.211111,1301.0
00S,,McKenzie Bridge State Airport,small_airport,44.181466,-122.086,1620.0
00SC,,Flying O Airport,small_airport,34.0093994140625,-80.26719665527344,150.0
00SD,,Homan Field,small_airport,44.809158,-96.498897,1590.0
00TE,,Tcjc-Northeast Campus Heliport,heliport,32.847599029541016,-97.1894989013672,600.0
00TS,,Alpine Range Airport,small_airport,32.607601165771484,-97.24199676513672,670.0
00TT,,Nowhere Airport,small_airport,34.516606,-99.93694,1752.0
00VA,,Vaughan Airport,small_airport,36.574964,-78.998437,551.0
00VI,,Groundhog Mountain Airport,small_airport,36.66329956054688,-80.49949645996094,2680.0
00W,,Lower Granite State Airport,small_airport,46.672884,-117.441933,719.0
00WA,,Howell Airport,small_airport,47.17839813232422,-122.77200317382812,150.0
00WI,,Northern Lite Airport,small_airport,44.304298400878906,-89.05010223388672,860.0
00WN,,Hawks Run Airport,small_airport,46.25,-117.2490005493164,2900.0
00WV,,Lazy J. Aerodrome,small_airport,38.82889938354492,-79.86609649658203,2060.0
00WY,,Mountain View Regional Hospital Heliport,heliport,42.840361,-106.224443,5210.0
00XA,,Weeski Ranch Airport,small_airport,30.224,-96.01417,271.0
01A,,Purkeypile Airport,small_airport,62.940833,-152.269722,2041.0
01AK,,Providence Seward Medical Center Heliport,heliport,60.1058739754,-149.446249008,120.0
01AL,,Ware Island Airport,small_airport,32.94599914550781,-86.51390075683594,344.0
01AN,,McHone Heights Airport,small_airport,61.649095,-149.339025,610.0
01AR,,DeQueen Medical Center Heliport,heliport,34.047456,-94.354023,440.0
01AZ,,Yat Heliport,heliport,34.607406,-111.8609,3300.0
01CA,,SCE Lugo Substation Heliport,heliport,34.368241,-117.370059,3733.0
01CL,,Swansboro Country Airport,small_airport,38.7999,-120.734001,2594.0
01CO,,St Vincent General Hospital Heliport,heliport,39.24530029296875,-106.24600219726562,10175.0
01CT,,Berlin Fairgrounds Heliport,heliport,41.62730026245117,-72.72750091552734,60.0
01FA,,Rybolt Ranch Airport,small_airport,28.589399337768555,-81.14420318603516,55.0
01FD,,Advent Health Altamonte Springs Heliport,heliport,28.666639,-81.3697,86.0
01FL,,Cedar Knoll Flying Ranch Airport,small_airport,28.78190040588379,-81.1592025756836,19.0
01GA,,Medical Center Heliport,heliport,32.47930145263672,-84.9791030883789,319.0
01GE,,The Farm Airport,small_airport,32.675106,-82.771055,375.0
01ID,,Lava Hot Springs Airport,small_airport,42.6082,-112.031998,5268.0
01II,,Myers Field,small_airport,39.8849983215332,-86.50669860839844,950.0
01IL,,Hoopeston Community Memorial Hospital Heliport,heliport,40.45859909057617,-87.65950012207031,583.0
01IN,,Community Hospital Heliport,heliport,40.13090133666992,-85.69580078125,890.0
01IS,,William E. Koenig Airport,small_airport,39.01620101928711,-90.31819915771484,670.0
01J,,Hilliard Airpark,small_airport,30.685568,-81.906346,59.0
01K,,Caldwell Municipal Airport,small_airport,37.036132,-97.58533,1157.0
01KS,,Flying N Ranch Airport,small_airport,38.54059982299805,-97.00330352783205,1485.0
01KY,,Lourdes Hospital Heliport,heliport,37.051700592041016,-88.64689636230469,419.0
01LA,,Barham Airport,small_airport,32.638999938964844,-91.77369689941406,90.0
01LL,,Schumaier Restricted Landing Area,small_airport,38.12580108642578,-89.46389770507812,555.0
01LS,,Country Breeze Airport,small_airport,30.722478,-91.077372,125.0
01MA,,Compaq Andover Heliport,heliport,42.625099182128906,-71.18009948730469,140.0
01MD,,Annapolis Seaplane Base,seaplane_base,38.999199,-76.456001,
01ME,,Saint Peter's Seaplane Base,seaplane_base,46.778900146484375,-68.50029754638672,608.0
01MI,,Flow Through Terminal Heliport,heliport,43.04949951171875,-83.67970275878906,736.0
01MN,,Barnes Seaplane Base,seaplane_base,47.899600982666016,-92.55740356445312,1358.0
01MO,,Highway Patrol Troop C Headquarters Heliport,heliport,38.641700744628906,-90.48429870605467,615.0
01MT,,Crystal Lakes Resort Airport,small_airport,48.789100646972656,-114.87999725341795,3141.0
01MU,,NWMC - Houghton Heliport,heliport,32.196747,-110.775142,2873.0
01NC,,Topsail Airpark,small_airport,34.47529983520508,-77.5813980102539,65.0
01NH,,Moore Airfield,small_airport,43.6445,-72.086998,835.0
01NJ,,Albert Guido Memorial Heliport,heliport,40.739956,-74.136128,10.0
01NM,,Champion Ranch Airport,small_airport,33.008611,-104.540278,3630.0
01NR,,McGee 01 Heliport,heliport,34.196264,-77.919917,40.0
01NV,,Lantana Ranch Airport,small_airport,38.76390075683594,-119.0270004272461,4600.0
01NY,,Vassar Hospital Heliport,heliport,41.692415,-73.93683,100.0
01OH,,Atrium Medical Center Heliport,heliport,39.497455,-84.313851,775.0
01OI,,Avita Health System Galion Hospital Heliport,heliport,40.730267,-82.802022,1140.0
01OL,,Spring Creek Ranch East Airport,small_airport,34.391667,-96.690833,1060.0
01PN,,Bierly(Personal Use) Airport,small_airport,40.93059921264648,-77.73889923095703,960.0
01PS,,Nort's Resort Airport,small_airport,41.59590148925781,-76.02960205078125,1040.0
01SC,,York Airport,small_airport,35.032100677490234,-81.25279998779297,779.0
01TA,,Thirty Thirty Matlock Office Center Helistop,closed,32.694867,-97.115964,630.0
01TE,,Smith Field,small_airport,32.737598,-96.428001,505.0
01TN,,Colonial Air Park,small_airport,34.99589920043945,-89.73059844970703,370.0
01TT,,Clute Fire & EMS Station #1 Heliport,heliport,29.012067,-95.402119,7.0
01U,,Duckwater Airport,small_airport,38.849785,-115.634987,5124.0
01UT,,La Sal Junction Airport,small_airport,38.30830001831055,-109.39600372314452,6000.0
01VA,,Pickles Airport,small_airport,39.125,-77.9250030518,500.0
01WA,,Willapa Harbor Heliport,heliport,46.66320037841797,-123.81199645996094,154.0
01WI,,Prehn Cranberry Company Airport,closed,44.009328,-90.38993,930.0
01WN,,Whidbey General Hospital Heliport,heliport,48.2134017944336,-122.68499755859376,103.0
01WT,,Odyssey Heliport,heliport,47.518178,-122.210908,20.0
01WY,,Keyhole Airport,small_airport,44.348312,-104.8106,4250.0
01XA,,Ascension Seton Hays Heliport,heliport,30.007222,-97.853333,715.0
01XS,,Meadowood Ranch Heliport,heliport,32.020198822021484,-95.74549865722656,500.0
02AA,,Barefoot Airport,small_airport,61.506147,-149.912825,160.0
02AK,,Rustic Wilderness Airport,small_airport,61.876907,-150.097626,190.0
02AL,,Bass Field,small_airport,30.37150001525879,-87.76439666748047,61.0
02AN,,Emerald Ridge Airport,small_airport,59.704223,-151.295869,222.0
02CA,,Swepi Beta Platform Ellen Heliport,heliport,33.58250045776367,-118.12899780273438,122.0
02CD,,Shannon Field,small_airport,34.129600524902344,-90.52400207519533,165.0
02CL,,Conover Air Lodge Airport,small_airport,34.761101,-119.058998,5160.0
02CO,,Mc Cullough Airport,small_airport,37.64329910279999,-106.04699707,7615.0
02CT,,Strangers Point Heliport,heliport,41.91960144042969,-72.44450378417969,540.0
02FA,,Osborn Airfield,small_airport,28.526699,-81.874802,121.0
02FD,,Triple R Ranch Airport,small_airport,30.950976,-86.635555,209.0
02GA,,Doug Bolton Field,small_airport,34.202598571777344,-83.42900085449219,884.0
02GE,,Etowah Fields Airport,small_airport,34.17530059814453,-84.92440032958984,710.0
02HI,,K3 Helipad Heliport,heliport,21.35839,-157.94789,9.0
02IA,,Boone County Hospital Heliport,heliport,42.05609893798828,-93.87799835205078,1160.0
02ID,,Morgan Ranch Airport,small_airport,44.55550003051758,-115.30500030517578,5634.0
02II,,King Ultralightport,small_airport,40.06230163574219,-86.21050262451172,925.0
02IN,,Diamond P. Field,small_airport,40.20890045166016,-85.54080200195312,904.0
02IS,,Condell Medical Center Heliport,heliport,42.274600982666016,-87.9572982788086,762.0
02KS,,JMJ Landing Airport,small_airport,39.221416,-96.057072,1170.0
02KT,,St Claire Healthcare Heliport,heliport,38.181441,-83.443319,781.0
02KY,,Boone National Guard Heliport,heliport,38.190282,-84.906442,760.0
02LA,,Louisiana State Police Troop G Heliport,heliport,32.531491,-93.659939,168.0
02LS,,Windy Hill Heliport,heliport,30.14830017089844,-91.91899871826172,25.0
02MA,,Cuttyhunk Heliport,heliport,41.419601,-70.927002,9.0
02MD,,Garner Field,small_airport,38.672544,-76.709739,141.0
02ME,,Nadeau's Airfield,small_airport,43.537467,-70.930685,700.0
02MI,,Fairplains Airpark,small_airport,43.15710067749024,-85.14849853515625,850.0
02MO,,Troy Airpark,small_airport,39.04999923706055,-91.03350067138672,650.0
02MS,,Watts Field,small_airport,34.095701,-90.846131,153.0
02NE,,Benes Service Airport,small_airport,41.074501037597656,-96.90450286865234,1550.0
02NH,,Iroquois Landing Seaplane Base,seaplane_base,44.65710067749024,-71.21910095214844,1180.0
02NJ,,Penske Heliport,closed,40.557301,-74.467102,78.0
02NM,,FFR Animas Landing Strip,small_airport,32.09071,-108.870735,4240.0
02NR,,McGee 02 Heliport,heliport,35.592197,-77.377372,25.0
02NV,,Paiute Meadows Airport,small_airport,41.299551,-118.926709,4443.0
02NY,,Hansen Heliport,heliport,43.132598876953125,-75.65550231933594,435.0
02OH,,Zimmerman Airport,small_airport,41.37639999389648,-83.08329772949219,614.0
02OI,,Murtha Airport,small_airport,41.80199813842773,-80.56539916992188,950.0
02OL,,War Veterans Colony Heliport,heliport,34.811412,-95.307727,807.0
02OR,,Rowena Dell Airport,small_airport,45.68149948120117,-121.31600189208984,705.0
02P,,Stottle Memorial Heliport,heliport,40.403596,-77.556602,591.0
02PA,,Lag III Heliport,heliport,40.438301,-79.769997,1070.0
02PN,,Peco Berwyn Heliport,heliport,40.06959915161133,-75.4552001953125,390.0
02PR,,Cuylers Airport,small_airport,18.464924,-66.363773,15.0
02RI,,Miramar Residence Heliport,heliport,41.457931,-71.304886,36.0
02SC,,Harpers Airport,small_airport,32.760211,-81.225872,111.0
02T,,Wise River Airport,small_airport,45.76910018920898,-112.98200225830078,5830.0
